asset,month,operation_count,total_value_brl,average_value_brl
BCH,2023-12-01,75552,11869974.3600002,157.10999523507255
BCH,2024-01-01,23616,9253066.940000022,391.8134713753397
BCH,2024-02-01,94672,19574389.48000202,206.76007140444926
BCH,2024-03-01,267209,131754635.08000258,493.0770860263037
BCH,2024-04-01,204229,128716608.14000122,630.256271832116
BCH,2024-05-01,112212,42851973.70000118,381.8840560724448
BCH,2024-06-01,88311,28555917.150001027,323.35628800490343
BCH,2024-07-01,124040,42380828.480000876,341.670658497266
BCH,2024-08-01,104364,31968498.190000735,306.3172951400937
BCH,2024-09-01,85017,24429926.29999998,287.35342696166623
BCH,2024-10-01,116684,38230454.570000656,327.6409325186029
BCH,2024-11-01,280862,171012238.97000223,608.8835049597391
BCH,2024-12-01,283202,171399309.42000458,605.2192760644507
BCH,2025-01-01,151669,68955461.62000069,454.6444007674653
BCH,2025-02-01,81946,34978745.360000364,426.8511624728524
BCH,2025-03-01,148890,84663505.0800021,568.631238363907
BCH,2025-04-01,105862,59806430.33000046,564.947104060007
BCH,2025-05-01,117294,73715492.8300021,628.4677206847929
BCH,2025-06-01,95641,42921703.19000171,448.77932257088185
BCH,2025-07-01,110957,59549484.3800013,536.6897481006273
BCH,2025-08-01,83365,43543258.36000102,522.3206184849879
BCH,2025-09-01,69407,39760705.75000066,572.8630505568698
BCH,2025-10-01,60769,42468759.62000059,698.8556602873273
BCH,2025-11-01,63895,41939284.16000036,656.3781854605269
BCH,2025-12-01,62410,21705826.48000003,347.79404710783575
BCH,2026-01-01,79663,31751513.75000066,398.57291025947626
BCH,2026-02-01,65982,27466785.27000042,416.2769432572583
BCH,2026-03-01,59854,15827187.750000574,264.4299086109629
BCH,2026-04-01,37878,9619493.479999945,253.9599102381315
BCH,2026-05-01,46681,17606587.490000185,377.1681731325418
BCH,2026-06-01,53329,31318727.86000093,587.2738633764168
BNB,2019-08-01,1,100.21,100.21
BNB,2019-09-01,18,8131.09,451.7272222222222
