month,protocol,asset,deposits_usd,borrows_usd,withdrawals_usd,repayments_usd,avg_tvl_usd,active_user_days
2025-10-01,compound,USDC,337249075.77,171438539.63,353041884.97,187434533.85,528847616.85,2421.0
2025-10-01,compound,USDT,76503921.34,101358399.26,77588755.44,88871354.81,200006976.14,1229.0
2025-10-01,spark,USDC,84866169.89,85373102.28,42320950.12,46886124.81,42057986.93,437.0
2025-10-01,spark,USDT,659367365.3,3725728777.65,464693009.12,3770302702.25,813305210.02,540.0
2025-11-01,aave,USDC,5040207941.84,3384841294.32,5778856468.84,3802262380.09,4783858494.18,33355.0
2025-11-01,aave,USDT,9215915134.91,4892147130.83,9554049700.99,5088097129.08,5850633982.19,26912.0
2025-11-01,compound,USDC,221627036.09,107951088.76,299582418.18,169865144.2,440286380.64,2329.0
2025-11-01,compound,USDT,88591000.13,70399518.11,116835200.33,91514391.83,176247494.1,1099.0
2025-11-01,spark,USDC,105526098.92,94431397.94,107207749.48,99143252.94,50060732.81,527.0
2025-11-01,spark,USDT,180702187.78,2248945209.37,629510358.29,2458260135.32,520985730.38,487.0
2025-12-01,aave,USDC,3702215607.59,2233924232.45,3581593992.24,2148208769.28,4626205343.02,25764.0
2025-12-01,aave,USDT,7600608710.85,3916367730.41,7910580996.12,3613092212.78,6142640394.24,21982.0
2025-12-01,compound,USDC,89316809.46,116608973.96,78229915.11,92399763.59,423537541.58,1567.0
2025-12-01,compound,USDT,87126647.12,90004667.58,53740318.65,64600330.05,187237206.69,904.0
2025-12-01,spark,USDC,32985827.85,17032230.42,31831107.76,14588723.13,49997095.5,311.0
2025-12-01,spark,USDT,335530048.59,551184718.26,292349255.01,516500818.88,313219137.69,327.0
2026-01-01,aave,USDC,4523334645.42,2747455968.39,5209927198.71,2846450627.08,4450267736.31,29771.0
2026-01-01,aave,USDT,7988700525.97,3595979837.71,7226728038.15,3227135325.4,6328494549.91,24003.0
2026-01-01,compound,USDC,88012247.32,57173696.21,111738627.85,114597809.09,415070926.96,1715.0
2026-01-01,compound,USDT,82282094.35,46413986.99,76182083.06,40608525.94,219057629.03,988.0
2026-01-01,spark,USDC,67521486.59,52990102.66,63000215.91,53662555.55,50850153.01,370.0
2026-01-01,spark,USDT,422412944.52,141421708.68,529649460.1,240228247.79,291686763.33,402.0
2026-02-01,aave,USDC,7005790396.05,3422124696.3,7335582723.44,4547286976.64,3869188991.08,31538.0
2026-02-01,aave,USDT,6958436094.68,4980282232.93,7951405337.88,6072433220.11,5893400768.21,25549.0
2026-02-01,compound,USDC,854912676.8,69014827.86,872617928.92,108222410.09,386980869.39,1808.0
2026-02-01,compound,USDT,49549560.54,39949213.37,62411507.28,88263810.05,207114292.42,907.0
2026-02-01,spark,USDC,41595420.18,51609249.56,38564220.53,64765662.33,50000735.67,387.0
2026-02-01,spark,USDT,593158931.06,648947640.23,490090088.69,623462616.53,303729556.54,356.0
2026-03-01,aave,USDC,7073729595.03,3994560034.16,7546041986.6,3699446494.71,3479865582.62,24284.0
2026-03-01,aave,USDT,7853246222.54,3996077704.21,8425968408.36,4023049451.9,5191314916.85,19994.0
2026-03-01,compound,USDC,245023674.55,23461040.78,257022890.42,33582234.2,393266560.08,1207.0
2026-03-01,compound,USDT,29741042.54,35863943.44,31885348.17,18982594.63,199874127.19,668.0
2026-03-01,spark,USDC,81569397.97,16491576.18,113031867.5,30851351.38,22728784.49,377.0
2026-03-01,spark,USDT,1266128017.28,565928222.67,1320668407.09,604077487.93,316651014.94,277.0
2026-04-01,aave,USDC,4900822189.3,1754495024.75,6219680393.87,2730383455.11,2712045748.66,26968.0
2026-04-01,aave,USDT,4914570699.17,3078740190.97,7952812731.83,4819263363.32,3622053959.83,21446.0
2026-04-01,compound,USDC,76316382.33,25950057.91,100235851.4,18114824.44,371245685.87,1197.0
2026-04-01,compound,USDT,57439444.15,56308201.23,67043573.43,41269415.79,196631902.15,769.0
2026-04-01,spark,USDC,172138847.8,164995265.15,161598369.22,155588229.53,22760782.59,694.0
2026-04-01,spark,USDT,4758458995.05,1703673235.59,4363033711.25,1338855078.13,423977472.03,744.0
2026-05-01,aave,USDC,5191949975.33,1180531866.09,5167534541.74,1078640968.22,1922878924.41,18879.0
2026-05-01,aave,USDT,1956549860.52,1267661200.04,1405232232.02,1084936165.63,2217031569.48,15660.0
2026-05-01,compound,USDC,275879983.42,52023553.4,291079180.52,22180879.02,336757738.64,1259.0
2026-05-01,compound,USDT,47778376.7,16314983.89,31505831.11,16858729.25,196163154.88,662.0
2026-05-01,spark,USDC,201754128.29,259347303.93,196797389.46,254950137.42,34319801.61,817.0
2026-05-01,spark,USDT,2234399032.13,1177077643.62,2392545574.73,1300177525.81,540877738.39,1080.0
2026-06-01,aave,USDC,6041748650.32,1532413487.97,6055697818.46,1477902755.39,1893392050.85,23409.0
2026-06-01,aave,USDT,1572430686.42,1663015744.52,1321913652.23,1450825936.0,2631408050.86,19878.0
2026-06-01,compound,USDC,19549717.94,70785587.63,29939853.62,76112101.96,327733125.04,1539.0
2026-06-01,compound,USDT,25527526.04,21534474.92,41146714.75,24832706.47,192670759.9,895.0
2026-06-01,spark,USDC,59819652.15,198568117.83,64673910.18,202611627.73,30774431.12,628.0
2026-06-01,spark,USDT,2154429454.67,586759422.42,2109470636.13,533937338.97,575936279.99,855.0
2026-07-01,aave,USDC,6805412882.36,1622444272.96,6775646563.13,1577622917.66,1946503592.84,19575.0
2026-07-01,aave,USDT,2056361842.06,1695090557.38,1776576593.13,1256569799.73,2836158829.76,15358.0
2026-07-01,compound,USDC,38180259.54,42903507.29,23441773.97,31610883.17,338424928.87,1207.0
2026-07-01,compound,USDT,16862361.9,19604837.54,37196468.28,16500536.53,187841557.65,629.0
2026-07-01,spark,USDC,37648606.39,119983638.36,37929970.98,119496328.94,28346008.73,463.0
2026-07-01,spark,USDT,2484081236.85,757339496.35,2650054564.88,891676115.56,443898943.79,707.0
