date,exchange,asset,symbol,open,high,low,close,volume,volume_brl
2023-10-24,Mercado Bitcoin,USDT,USDT/BRL,5.04,5.09999999,4.92,5.02874355,624150.76201761,3138694.118723641
2023-10-25,Mercado Bitcoin,USDT,USDT/BRL,5.03,5.09034,4.95092,5.04871,77100.03236188,389255.7043857472
2023-10-26,Mercado Bitcoin,USDT,USDT/BRL,5.04704,5.05,4.95834,5.01853068,107959.54905854,541798.3091492481
2023-10-27,Mercado Bitcoin,USDT,USDT/BRL,5.02535684,5.05,4.96153,5.04030514,118718.24047416,598376.1576736647
2023-10-28,Mercado Bitcoin,USDT,USDT/BRL,5.04032185,5.05,5.01,5.04273904,29125.21772588,146870.8724747951
2023-10-29,Mercado Bitcoin,USDT,USDT/BRL,5.05,5.06784187,5.03902421,5.03905883,39862.04285636,200867.17903717927
2023-10-30,Mercado Bitcoin,USDT,USDT/BRL,5.03905883,5.08,5.00073745,5.06079815,109379.88846521,553549.537191941
2023-10-31,Mercado Bitcoin,USDT,USDT/BRL,5.06004999,5.1,5.02842036,5.06172948,31877.91738578,161357.39419260717
2023-11-01,Mercado Bitcoin,USDT,USDT/BRL,5.05279741,5.1,5.0004,5.0004,85712.99206601,428599.2455268764
2023-11-02,Mercado Bitcoin,USDT,USDT/BRL,5.00107,5.0599,4.99,4.99410366,61829.90406687,308784.95019780437
2023-11-03,Mercado Bitcoin,USDT,USDT/BRL,5.0011159,5.01363134,4.92,4.94332505,103027.73645735,509299.5904744165
2023-11-04,Mercado Bitcoin,USDT,USDT/BRL,4.94826838,4.98037997,4.94005,4.95203694,11755.14928707,58211.93350478531
2023-11-05,Mercado Bitcoin,USDT,USDT/BRL,4.94174003,5.03,4.9334,4.96195874,36439.89512472,180813.2560987878
2023-11-06,Mercado Bitcoin,USDT,USDT/BRL,4.94689495,5.00995,4.92,4.92497005,83927.81856943,413341.9928162766
2023-11-07,Mercado Bitcoin,USDT,USDT/BRL,4.92916112,4.95,4.90266077,4.91012231,71253.13188749,349861.5925381371
2023-11-08,Mercado Bitcoin,USDT,USDT/BRL,4.91025146,5.0,4.91,4.94377286,83238.65557101,411513.00631484704
2023-11-09,Mercado Bitcoin,USDT,USDT/BRL,4.94471994,4.99918,4.92432,4.97624741,131193.99117661,652853.7588001684
2023-11-10,Mercado Bitcoin,USDT,USDT/BRL,4.97815014,5.05,4.94,4.95446959,86859.26461158,430341.5851278363
2023-11-11,Mercado Bitcoin,USDT,USDT/BRL,4.95446959,5.01,4.9509,4.95441368,27548.97906747,136489.03876190702
2023-11-12,Mercado Bitcoin,USDT,USDT/BRL,4.96097361,4.98224996,4.95045,4.96650514,25217.4968695,125242.82782030565
2023-11-13,Mercado Bitcoin,USDT,USDT/BRL,4.96005001,5.04992,4.9504,4.9504,132182.35871459,654355.5485807064
2023-11-14,Mercado Bitcoin,USDT,USDT/BRL,4.9570197,4.96,4.85072,4.91457895,44430.05808385,218355.02820616655
2023-11-15,Mercado Bitcoin,USDT,USDT/BRL,4.91457879,4.95999,4.8347,4.91212963,77557.43495248,380972.17425687466
2023-11-16,Mercado Bitcoin,USDT,USDT/BRL,4.91212963,5.0,4.89356,4.91786378,204212.38654383,1004288.699211261
2023-11-17,Mercado Bitcoin,USDT,USDT/BRL,4.91437726,4.9527422,4.88969607,4.95,63570.77017564,314675.312369418
2023-11-18,Mercado Bitcoin,USDT,USDT/BRL,4.95,5.01,4.91016103,4.95199998,50104.88614758,248119.39520071846
2023-11-19,Mercado Bitcoin,USDT,USDT/BRL,4.952,4.96726343,4.94334997,4.94334997,5640.78961571,27884.39717759634
2023-11-20,Mercado Bitcoin,USDT,USDT/BRL,4.941,4.97633021,4.87011,4.89688733,103831.02652688,508448.8382603726
2023-11-21,Mercado Bitcoin,USDT,USDT/BRL,4.88985532,5.1499,4.88565294,4.94,131167.75249445,647968.697322583
2023-11-22,Mercado Bitcoin,USDT,USDT/BRL,4.95431761,5.2,4.90134957,4.98325,144587.24092485,720514.3683387587
2023-11-23,Mercado Bitcoin,USDT,USDT/BRL,4.98325,5.16854535,4.9105603,4.93311424,55592.80522315,274245.65908786765
2023-11-24,Mercado Bitcoin,USDT,USDT/BRL,4.9332619,5.17993681,4.9,4.94509229,93688.44213914,463297.9928843723
2023-11-25,Mercado Bitcoin,USDT,USDT/BRL,4.9437946,4.98241785,4.9005,4.94404393,85045.80580001,420470.19993749826
2023-11-26,Mercado Bitcoin,USDT,USDT/BRL,4.93754119,4.9575045,4.85025,4.95293126,116607.24700617,577547.6788394008
2023-11-27,Mercado Bitcoin,USDT,USDT/BRL,4.95292133,5.0,4.848,4.93613528,162624.75590185,802737.79500851
2023-11-28,Mercado Bitcoin,USDT,USDT/BRL,4.92956074,4.94311231,4.88783238,4.89583474,59949.9007043,293504.8065276624
2023-11-29,Mercado Bitcoin,USDT,USDT/BRL,4.895833,5.12,4.81012,4.92328786,227842.44679959,1121733.9523211173
2023-11-30,Mercado Bitcoin,USDT,USDT/BRL,4.93002999,5.082,4.85,4.95427879,122041.48860508,604627.5584961745
2023-12-01,Mercado Bitcoin,USDT,USDT/BRL,4.93328258,5.03920729,4.8765,4.92585644,83577.05026774,411688.5512975508
2023-12-02,Mercado Bitcoin,USDT,USDT/BRL,4.9404,4.9692,4.88000003,4.92933999,31510.25652506,155324.7675841367
2023-12-03,Mercado Bitcoin,USDT,USDT/BRL,4.91300019,4.99994166,4.90311,4.93956,32989.13346039,162951.80407560404
2023-12-04,Mercado Bitcoin,USDT,USDT/BRL,4.91155003,5.1,4.90061,4.97882217,124574.00201003,620231.803013162
2023-12-05,Mercado Bitcoin,USDT,USDT/BRL,4.97181949,4.99077,4.926,4.97,135794.10933028,674896.7233714917
2023-12-06,Mercado Bitcoin,USDT,USDT/BRL,4.97,4.97,4.90152,4.97,123204.45647929,612326.1487020713
2023-12-07,Mercado Bitcoin,USDT,USDT/BRL,4.92234586,4.99995457,4.90089398,4.92497045,73935.5792068,364130.5427971244
2023-12-08,Mercado Bitcoin,USDT,USDT/BRL,4.92387135,4.96999,4.7582,4.94,130678.10753624,645549.8512290256
2023-12-09,Mercado Bitcoin,USDT,USDT/BRL,4.95386329,4.97,4.91,4.96132,31050.9865509,154053.8805947112
2023-12-10,Mercado Bitcoin,USDT,USDT/BRL,4.97,5.01,4.95102,4.97315984,37865.07853545,188309.08791094593
2023-12-11,Mercado Bitcoin,USDT,USDT/BRL,4.97244673,5.09,4.9484003,5.04987,136807.87286063,690861.9729227098
2023-12-12,Mercado Bitcoin,USDT,USDT/BRL,5.04165997,5.11492,4.94621984,4.99855226,145668.9491527,728133.8549990536
2023-12-13,Mercado Bitcoin,USDT,USDT/BRL,4.99081727,5.1499,4.91714705,4.95611902,118008.33133102,584863.3354281301
2023-12-14,Mercado Bitcoin,USDT,USDT/BRL,4.96292761,5.00894683,4.91189066,4.94226239,65119.1815272,321836.0817294633
2023-12-15,Mercado Bitcoin,USDT,USDT/BRL,4.94190395,5.08498,4.9102,4.97190087,245372.33485247,1219966.9251269267
2023-12-16,Mercado Bitcoin,USDT,USDT/BRL,4.97178207,4.99757071,4.91,4.98335434,146813.0395841,731621.3979800165
